dealdate	totalPrice	unitPrice	square	count
2017-04-11	693.3043	64785.4348	110.1304	23
2017-04-12	611.1111	67380.9630	84.3704	27
2017-04-13	503.0833	57141.9583	84.1250	24
2017-04-14	617.3810	55165.5238	111.5238	21
2017-04-15	830.5294	77039.0588	105.1765	17
2017-04-16	535.8250	60809.1500	90.2250	40
2017-04-17	580.1667	68473.6250	89.5000	24
2017-04-18	696.4286	63966.5238	116.4286	21
2017-04-19	646.9000	64505.6000	99.9000	20
2017-04-20	534.5600	61627.8800	70.0800	25
2017-04-21	577.8571	69890.5238	81.4286	21
2017-04-22	630.5000	58627.2222	94.0000	18
2017-04-23	584.3214	61144.7143	85.7143	28
2017-04-24	572.1250	57023.2500	100.5313	32
2017-04-25	657.0000	65512.4000	100.5200	25
2017-04-26	591.4333	66343.3667	88.3000	30
2017-04-27	521.5357	69295.8571	74.8571	28
2017-04-28	457.0625	50171.1875	91.0000	16
2017-04-29	686.3913	66371.7826	101.5217	23
2017-04-30	524.1000	55797.6750	89.7750	40
2017-05	801.4220	66024.5087	110.9509	346
2017-05-01	606.0588	61036.1176	99.6471	17
2017-05-02	803.0000	66808.2857	100.1429	7
2017-05-03	539.0000	69187.7143	83.2857	21
2017-05-04	635.7692	75564.6154	84.4615	13
2017-05-05	555.4375	56021.0625	87.5000	16
2017-05-06	553.5000	73386.5714	77.6429	14
2017-05-07	750.5357	73972.1429	95.5000	28
2017-05-08	597.2813	59652.6563	99.9063	32
2017-05-09	711.4000	65952.4500	105.4000	20
2017-05-10	604.1739	56155.6522	99.4783	23
2017-05-11	617.6250	56225.2500	101.8750	16
2017-05-12	632.7368	63837.3158	96.2632	19
2017-05-13	612.8182	57530.0455	106.0455	22
2017-05-14	732.9600	68365.5200	99.1600	25
2017-05-15	702.4783	64428.2609	111.7391	23
2017-05-16	583.8667	64693.0000	80.9333	15
2017-05-17	767.0833	60382.0000	126.9167	12
2017-05-18	560.0000	58044.1053	81.7368	19
2017-05-19	500.0000	60332.2143	77.9286	14
2017-05-20	489.9375	53593.8750	91.0625	16
2017-05-21	610.5862	67936.4483	87.0000	29
2017-05-22	506.1429	61438.4762	87.6667	21
2017-05-23	618.7000	57531.4000	100.8000	20
